sex age behaviour
male young 5.11732270791579
female young 11.4504789563846
male old 7.91438740076211
female old 5.52534148235416
male young 2.23047462879549
female young 11.6658582945767
male old 4.33333248236117
female old 10.0037609816701
male young 6.47835015635159
female young 7.57430082656038
male old -0.408337773444051
female old 4.46864456237038
male young 11.9234975299524
female young 5.99741578462468
male old 8.98737298552425
female old 9.21093430215686
male young 8.86788534853135
female young 6.6345573139418
male old 2.01817757052899
female old 1.87173187243544
male young 6.06635518554854
female young 7.53654576111224
male old -0.139387372825431
female old 9.24018672683214
male young 0.472827513505112
female young 2.87498484254613
male old 4.17877291053924
female old 2.21278194353396
male young 11.4712135817937
female young 12.6772034340448
male old 2.5196850588774
female old 9.31626870474895
male young 6.24062454599284
female young 11.1015893352062
male old 7.09901887409974
female old 3.38459275863675
male young 3.24974451538234
female young 11.6460335025289
male old 4.29933935801234
female old 13.2741487361667
male young 2.74477849841962
female young 7.41455379065453
male old -3.0744367804789
female old 9.94132445428515
male young 7.65093439727684
female young 13.1627420024521
male old 6.06076437588149
female old 4.27446485372126
male young 7.23335183758993
female young 10.782150316095
male old 2.24380471167621
female old 2.75339770802494
male young 9.09778370717267
female young 7.98209970114536
male old 6.06285384187418
female old 4.72833881366041
male young 4.96444565402481
female young 4.42868851968096
male old 7.43531929582516
female old 6.01253521978527
male young 7.13899099240945
female young 6.6379256571781
male old 1.14953815694906
female old 2.52165284412454
male young 11.0910268848128
female young 7.62099627622744
male old -0.32423385749154
female old 2.47855873884305
male young 4.62194609709291
female young 7.12774028294223
male old 3.95245264930685
female old 4.41652859072907
male young 4.422863936953
female young 6.84381930997778
male old 5.71397082717713
female old 8.94237953688188
male young 13.3465083967336
female young 9.07130889837326
male old 4.67262319043006
female old 5.09341049103883
male young 4.56540686887149
female young 3.4265106057286
male old 5.37940288126401
female old 3.47952482657359
male young 9.69255856058198
female young 5.09694860080711
male old 11.9154284350525
female old 6.86491731314479
male young 10.6058243744686
female young 3.44705147480619
male old 4.6222032982863
female old 2.98943747787823
male young 6.42761931144961
female young -1.74675284097804
male old 7.79693689713043
female old -0.434313279987723
male young 12.6209688347106
female young 6.88312028317169
male old 5.551884916805
female old 0.470976248500723
male young 2.58952902596008
female young 5.61724608380142
male old 3.07088824962661
female old 4.34351588982317
male young 4.232034856783
female young 5.59212466101367
male old 3.03798066294675
female old 1.29710606655259
male young 3.51368578263762
female young 5.47616691647791
male old -0.2081475903981
female old 5.07818775422718
male young 9.88987181995346
female young 7.09725697612932
male old -1.54824686468969
female old 5.54396094747049
male young 8.00741997700158
female young 3.05067999354718
male old 3.41023944220431
female old -1.1549839772448
