sex age behaviour
male young 8.68506486495927
female young 9.47627791417522
male old 6.83799392763896
female old 2.87401198302549
male young 8.09519614393711
female young 9.67567887245189
male old 8.74979721747921
female old 4.22355866414089
male young 7.02754060770259
female young 8.40219082676904
male old 7.02262693533792
female old 5.49621797590236
male young 5.30897993495108
female young 9.25783806783337
male old 5.10558037075577
female old 5.86684682289664
male young 8.95368149929372
female young 7.19099911061989
male old 10.610358050804
female old 8.91386106071568
male young 7.76164138196385
female young 12.1549852141081
male old 5.45923346845658
female old 9.68511852396827
male young 2.66631260315289
female young 12.4762293271587
male old 9.19874632642177
female old 11.0509762529121
male young 8.27203073436345
female young 10.6130343181547
male old 7.43445811902954
female old 5.92552233009169
male young 5.61154932328087
female young 11.2865330471445
male old 10.5746912982153
female old 6.75162180464563
male young 5.92587672676617
female young 7.54216175872542
male old 7.95289058154265
female old 7.59157464224126
male young 7.90036371047287
female young 9.92414569805411
male old 5.20925188705722
female old 5.02296344728856
male young 6.81790698799752
female young 10.4735990310011
male old 4.23410535532598
female old 4.01844306295606
male young 9.74534725141397
female young 12.2970694236402
male old 5.1774101245253
female old 5.52662166197722
male young 4.90215518899077
female young 7.56241452079676
male old 7.05052959740663
female old 9.13445580286294
male young 7.36656177051586
female young 9.8798765794611
male old 6.67335332435924
female old 5.09703493928222
male young 7.44490322022996
female young 13.9033319376814
male old 4.1550893940075
female old 9.89740566398921
male young 5.89711141542014
female young 8.85367359798572
male old 8.42687697447978
female old 5.98738714334375
male young 9.70557809919071
female young 9.18648692842122
male old 3.83922670346357
female old 4.96208009813452
male young 11.227155202202
female young 8.82556630514642
male old 6.78799861233817
female old 9.32667415801942
male young 6.6175939043116
female young 8.52263075598794
male old 5.62084823402852
female old 7.58106753729913
male young 3.21456292436975
female young 11.0072276132549
male old 4.14014219777463
female old 9.50652127479765
male young 8.24120022236153
female young 7.80795299031878
male old 6.44153140003942
female old 8.50061542166564
male young 6.12168295614291
female young 10.7120124364705
male old 6.67588054155014
female old 3.56624602982346
male young 6.88218960453921
female young 6.7943872637996
male old 8.96831735093635
female old 5.08989309891104
male young 7.09990928778628
female young 10.0533222143897
male old 10.0160255809095
female old 4.90264931154386
male young 7.53507321586224
female young 11.8918761148515
male old 6.72901108015321
female old 6.52821963324955
male young 8.67699186799888
female young 9.8503596217095
male old 8.14991000943138
female old 9.65299762738399
male young 6.22858836166561
female young 10.9203800559052
male old 6.44221232144583
female old 8.14773429472781
male young 8.30542687564688
female young 10.0791468572087
male old 6.68918704924394
female old 5.58535354009504
male young 7.54206104624826
female young 11.3653910946044
male old 7.22640544452381
female old 7.07088134269795
